科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
金融、应用统计、税务、国际商务、保险、 资产评估,330,44,66,320,41,62.0
审计,165,42,84,155,37,74.0
法律(非法学)、法律(法学)、社会工作、警务,315,42,63,305,39,59.0
教育、汉语国际教育,320,44,66,310,41,62.0
应用心理,320,44,132,310,41,123.0
体育,265,34,102,255,31,93.0
翻译、新闻与传播、出版,345,55,83,335,52,78.0
文物与博物馆,315,43,129,305,40,120.0
建筑学、工程(不含工程照顾领域)、城市规划,260,34,51,250,31,47.0
农业、兽医、风景园林、林业,255,34,51,245,31,47.0
临床医学⑥、口腔医学⑦、公共卫生、护理、 药学、中药学,300,40,120,290,37,111.0
中医⑧,300,39,117,290,36,108.0
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,165,42,84,155,37,74.0
艺术,335,36,54,325,33,50.0
工程照顾领域⑨,255,34,51,245,31,47.0
享受少数民族照顾政策的考生⑩,245,30,45,245,30,45.0
