科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
哲学,280,36,54,270,33,50.0
经济学,325,45,68,315,42,63.0
法学,315,45,68,305,42,63.0
教育学(不含体育学),320,45,135,310,42,126.0
文学,350,53,80,340,50,75.0
历史学,315,44,132,305,41,123.0
理学,285,39,59,275,36,54.0
工学(不含工学照顾专业),265,36,54,255,33,50.0
农学,255,34,51,245,31,47.0
医学(不含中医类照顾专业),295,41,123,285,38,114.0
军事学,280,38,57,270,35,53.0
管理学,335,45,68,325,42,63.0
艺术学,335,34,51,325,31,47.0
体育学,265,34,102,255,31,93.0
工学照顾专业③,265,34,51,255,31,47.0
中医类照顾专业④,295,40,120,285,37,111.0
享受少数民族照顾政策的考生⑤,245,30,45,245,30,45.0
