科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
金融、应用统计、税务、国际商务、保险、资产评估,340,50,75,330,47,71.0
审计,150,41,82,140,36,72.0
法律(法学)、法律(非法学)、社会工作、警务,315,42,63,305,39,59.0
教育、汉语国际教育,300,40,60,290,37,56.0
应用心理,300,40,120,290,37,111.0
体育,265,34,102,255,31,93.0
翻译、新闻与传播、出版,345,52,78,335,49,74.0
文物与博物馆,285,38,114,275,35,105.0
建筑学、工程(不含工程照顾专业)、城市规划,290,38,57,280,35,53.0
农业推广、兽医、风景园林、林业,255,33,50,245,30,45.0
临床医学(不含临床医学照顾专业)、口腔医学、公共卫生、护理、药学、中药学,295,38,114,285,35,105.0
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,150,41,82,140,36,72.0
艺术,315,34,51,305,31,47.0
工程照顾专业*,275,37,56,265,34,51.0
临床医学照顾专业*,265,34,102,255,31,93.0
享受少数民族政策的考生*,240,30,45,240,30,45.0
