科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
哲学,280,39,59,270,36,54.0
经济学,330,44,66,320,41,62.0
法学,315,42,63,305,39,59.0
教育学(不含体育学),320,44,132,310,41,123.0
文学,345,55,83,335,52,78.0
历史学,315,43,129,305,40,120.0
理学,280,38,57,270,35,53.0
工学(不含工学照顾专业),260,34,51,250,31,47.0
农学,255,34,51,245,31,47.0
医学(不含中医类照顾专业),300,40,120,290,37,111.0
军事学,270,37,56,260,34,51.0
管理学,330,44,66,320,41,62.0
艺术学,335,36,54,325,33,50.0
体育学,265,34,102,255,31,93.0
工学照顾专业③,255,34,51,245,31,47.0
中医类照顾专业④,300,39,117,290,36,108.0
享受少数民族照顾政策的考生⑤,245,30,45,245,30,45.0
