科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
哲学,300,42,63,290,39,59.0
经济学,343,48,72,333,45,68.0
法学,325,46,69,315,43,65.0
教育学(不含体育学),331,46,138,321,43,129.0
文学,355,52,78,345,49,74.0
历史学,324,44,132,314,41,123.0
理学,288,40,60,278,37,56.0
工学(不含工学照顾专业),264,37,56,254,34,51.0
农学,253,33,50,243,30,45.0
医学(不含中医类照顾专业),300,42,126,290,39,117.0
军事学,265,37,56,255,34,51.0
管理学,345,49,74,335,46,69.0
艺术学,347,38,57,337,35,53.0
体育学,277,35,105,267,32,96.0
工学照顾专业③,254,34,51,244,31,47.0
中医类照顾专业④,300,41,123,290,38,114.0
享受少数民族照顾政策的考生⑤,248,30,45,248,30,45.0
