科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
哲学,285,38,57,275,35,53.0
经济学,335,46,69,325,43,65.0
法学,310,44,66,300,41,62.0
教育学(不含体育学),310,44,132,300,41,123.0
文学,345,53,80,335,50,75.0
历史学,315,45,135,305,42,126.0
理学,290,39,59,280,36,54.0
工学(不含工学照顾专业),265,35,53,255,32,48.0
农学,255,34,51,245,31,47.0
医学(不含中医类照顾专业),295,40,120,285,37,111.0
军事学,280,39,59,270,36,54.0
管理学,340,46,69,330,43,65.0
艺术学,335,35,53,325,32,48.0
体育学,260,34,102,250,31,93.0
工学照顾专业③,260,34,51,250,31,47.0
中医类照顾专业④,295,39,117,285,36,108.0
享受少数民族照顾政策的考生⑤,245,30,45,245,30,45.0
