科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
哲学,280,38,57,270,35,53.0
经济学,340,49,74,330,46,69.0
法学,315,42,63,305,39,59.0
教育学(不含体育学),310,40,120,300,37,111.0
文学,350,54,81,340,51,77.0
历史学,295,40,120,285,37,111.0
理学,290,39,59,280,36,54.0
工学(不含工学照顾专业),295,40,60,285,37,56.0
农学,255,33,50,245,30,45.0
医学(不含中医类照顾专业),290,38,114,280,35,105.0
军事学,295,40,60,285,37,56.0
管理学,345,51,77,335,48,72.0
艺术学,320,34,51,310,31,47.0
体育学,265,34,102,255,31,93.0
工学照顾专业*,280,37,56,270,34,51.0
中医类照顾专业*,275,36,108,265,33,99.0
享受少数民族政策的考生*,245,30,45,245,30,45.0
