科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
金融、应用统计、税务、国际商务、保险、资产评估,343,48,72,333,45,68.0
审计,175,44,88,165,39,78.0
法律(非法学)、法律(法学)、社会工作、警务,325,46,69,315,43,65.0
教育、汉语国际教育,331,46,69,321,43,65.0
应用心理,331,46,138,321,43,129.0
体育,277,35,105,267,32,96.0
翻译、新闻与传播、出版,355,52,78,345,49,74.0
文物与博物馆,324,44,132,314,41,123.0
建筑学、城市规划、电子信息、机械、材料与化工、资源与环境、能源动力、土木水利、生物与医药、交通运输,264,37,56,254,34,51.0
农业、兽医、风景园林、林业,253,33,50,243,30,45.0
临床医学⑥、口腔医学⑦、公共卫生、护理、药学、中药学,300,42,126,290,39,117.0
中医⑧,300,41,123,290,38,114.0
军事,265,37,56,255,34,51.0
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,175,44,88,165,39,78.0
艺术,347,38,57,337,35,53.0
享受少数民族照顾政策的考生⑨,248,30,45,248,30,45.0
