科目,总分A,单科A-100,单科A-150,总分B,单科B-100,单科B-150
金融、应用统计、税务、国际商务、保险、 资产评估,335,46,69,325,43,65.0
审计,170,42,84,160,37,74.0
法律(非法学)、法律(法学)、社会工作、警务,310,44,66,300,41,62.0
教育、汉语国际教育,310,44,66,300,41,62.0
应用心理,310,44,132,300,41,123.0
体育,260,34,102,250,31,93.0
翻译、新闻与传播、出版,345,53,80,335,50,75.0
文物与博物馆,315,45,135,305,42,126.0
建筑学、工程(不含工程照顾领域)、城市规划,265,35,53,255,32,48.0
农业、兽医、风景园林、林业,255,34,51,245,31,47.0
临床医学⑥、口腔医学⑦、公共卫生、护理、 药学、中药学,295,40,120,285,37,111.0
中医⑧,295,39,117,285,36,108.0
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,170,42,84,160,37,74.0
艺术,335,35,53,325,32,48.0
工程照顾领域⑨,260,34,51,250,31,47.0
享受少数民族照顾政策的考生⑩,245,30,45,245,30,45.0
